"customer_code","agency_name","customer_group","district_name","tax_id","contract_no","contract_date","agency_address","readiness","missing_items"
"C001","เทศบาลตำบลคลองตาคต","จ้างขน","โพธาราม","0994000535490","1/2569","02/03/2569","187 หมู่ 3 ตำบลคลองตาคต อำเภอโพธาราม จังหวัดราชบุรี 70120","พร้อมออก",""
"C002","เทศบาลตำบลคุ้งกระถิน","จ้างขน","เมือง","705549000117","2/2569 "," 1 ธันวาคม 256","99/9 หมู่ที่ 4 ตำบลคุ้งกระถิน อำเภอเมืองราชบุรี จังหวัดราชบุรี 70000","พร้อมออก",""
"C003","เทศบาลตำบลเบิกไพร","จ้างขน","บ้านโป่ง","755563000935","13/2569","2026-02-19","17 หมู่ที่ 6 ตำบลเบิกไพร อำเภอบ้านโป่ง จังหวัดราชบุรี 70110","พร้อมออก",""
"C004","เทศบาลตำบลโพหัก","จ้างขน","บางแพ","0994000536534","202/2569","31/03/2569","หมู่ 3 ตำบลโพหัก อำเภอบางแพ จังหวัดราชบุรี 70160","พร้อมออก",""
"C005","องค์การบริหารส่วนตำบลดอนกระเบื้อง","จ้างขน","บ้านโป่ง","0994000534566","7/2569","2025-10-01","หมู่ 5 ตำบลดอนกระเบื้อง อำเภอโพธาราม จังหวัดราชบุรี 70120","พร้อมออก",""
"C006","องค์การบริหารส่วนตำบลดอนคลัง","จ้างขน","ดำเนินสะดวก","0994000534787","01/2569","2025-11-05","เลขที่ 186 หมู่ 2 ตำบลดอนคลัง อำเภอดำเนินสะดวก จังหวัดราชบุรี 70130","พร้อมออก",""
"C007","องค์การบริหารส่วนตำบลท่าชุมพล","จ้างขน","อำเภอโพธาราม","0994000535341","1/2569","01/10/2568","ถนนโพธาราม-เขาช่องพราน หมู่ที่ 3 ตำบลท่าชุมพล อำเภอโพธาราม จังหวัดราชบุรี","พร้อมออก",""
"C008","องค์การบริหารส่วนตำบลนครชุมน์","จ้างขน","บ้านโป่ง","0994000535481","30/2569","2025-12-30","หมู่ 8 ตำบลนครชุมน์ อำเภอบ้านโป่ง จังหวัดราชบุรี 70110","พร้อมออก",""
"C009","องค์การบริหารส่วนตำบลสร้อยฟ้า","จ้างขน","โพธาราม","0994000535333","2/2569","30/03/2569","หมู่ 3 ตำบลสร้อยฟ้า อำเภอโพธาราม จังหวัดราชบุรี 70120","พร้อมออก",""
"C010","องค์การบริหารส่วนตำบลหัวโพ","จ้างขน","บางแพ","0994000535171","01/2569","01/10/2568","เลขที่ 1/1 หมู่ 2 ตำบลหัวโพ อำเภอบางแพ จังหวัดราชบุรี 70160","พร้อมออก",""
"C011","องค์การบริหารส่วนตำบลปากแรต","จ้างขน","บ้านโป่ง","0994000535538","1/2569","30 กันยายน 2568 บั","เลขที่ 215 หมู่ 11 ตำบลปากแรต อำเภอบ้านโป่ง จังหวัดราชบุรี 70110","พร้อมออก",""
"C012","องค์การบริหารส่วนตำบลบ้านม่วง","จ้างขน","บ้านโป่ง","0994000535490","29/2569","2025-12-30","หมู่ 5 ตำบลบ้านม่วง อำเภอบ้านโป่ง จังหวัดราชบุรี 70110","พร้อมออก",""
"C013","องค์การบริหารส่วนตำบลเขาขลุง","จ้างขน","บ้านโป่ง","","","","99 หมู่ 12 ตำบลเขาขลุง อำเภอบ้านโป่ง จังหวัดราชบุรี 70110","รอตรวจ","เลขผู้เสียภาษี; เลขสัญญา; วันที่สัญญา"
"C014","องค์การบริหารส่วนตำบลหนองโพ","จ้างขน","โพธาราม","","","","115 หมู่ที่ 10 ตำบลหนองโพ อำเภอโพธาราม จังหวัดราชบุรี 70120","รอตรวจ","เลขผู้เสียภาษี; เลขสัญญา; วันที่สัญญา"
"C015","เทศบาลตำบลประสาทสิทธิ์","เก็บขน","ดำเนินสะดวก","0994000534833","","","272 หมู่ที่ 5 ตำบลประสาทสิทธิ์ อำเภอดำเนินสะดวก จังหวัดราชบุรี 70210","รอตรวจ","เลขสัญญา; วันที่สัญญา"
"C016","องค์การบริหารส่วนตำบลกระดังงา","เก็บขน","บางคนที","0994000546041","","","เลขที่ 3/5 หมู่ 11 ตำบลกระดังงา อำเภอบางคนที จังหวัดสมุทรสงคราม 75120","รอตรวจ","เลขสัญญา; วันที่สัญญา"
"C017","องค์การบริหารส่วนตำบลขุนพิทักษ์","เก็บขน","ดำเนินสะดวก","0755563000935","","2026-03-20","97 หมู่ 4 ตำบลขุนพิทักษ์ อำเภอดำเนินสะดวก จังหวัดราชบุรี 70130","รอตรวจ","เลขสัญญา"
"C018","องค์การบริหารส่วนตำบลบางยี่รงค์","เก็บขน","บางคนที","","","","28 หมู่ 9 ตำบลบางยี่รงค์ อำเภอบางคนที จังหวัดสมุทรสงคราม 75120","รอตรวจ","เลขผู้เสียภาษี; เลขสัญญา; วันที่สัญญา"
"C019","องค์การบริหารส่วนตำบลบางสะแก","เก็บขน","บางคนที","0755563000935","2/2569","06/10/2568","125 หมู่ 1 ตำบลยี่สาร อำเภออัมพวา จังหวัดสมุทรสงคราม 75110","พร้อมออก",""
"C020","องค์การบริหารส่วนตำบลยี่สาร","เก็บขน","อัมพวา","0994000546165","","","125 หมู่ 1 ตำบลยี่สาร อำเภออัมพวา จังหวัดสมุทรสงคราม 75110","รอตรวจ","เลขสัญญา; วันที่สัญญา"
